Plasma (physics)                                  05916521[[Help:Reverting|Reverted]] edits by [[Special:Co
Wikipedia:Graphic Lab/Photography workshop/Top 4  058227624th image done
Protestantism                                     05814008/* See also */ Add link to forgiveness article
Sport                                             05778403Revert previous revision by [[Special:Contributions/66.44.16
Shock Value II                                    05442584Filling in 5 references using [[WP:REFLINKS|Reflink
Michael Rosenzweig (composer)                     05399691null
Caffe Luxxe                                       05184937null
Aircraft in fiction                               04989316/* F-4 Phantom II */ change 'only' to 'actuall
User talk:67.149.204.194                          049140919-Oct
Template:Country data Karachayevo-Cherkesskaya Res04839273[[WP:AES
The Twilight Saga: New Moon (soundtrack)          04721032/* iTunes bonus tracks */
User talk:71.62.216.234                           04403547General note: Vandalism on [[Glenn Jacobs]
File:Hrithik Roshan In Rajasthan Royals Press Conf04329624"uplo
List of artists who have covered Van Morrison song04291171/* Lisa Stansf
Fuerza Corona                                     04234535null
User:MrSPIAP0                                     04205482sock
Wikipedia:Articles for deletion/Tito Morientes    04178411/* Tito Morientes *
Dalhousie Creek                                   04141691Adding geodata: {{coord missing|Australia}}
User talk:71.72.146.51                            04059250[[WP:AES|←]]Created page with '==Vandal W
Tiger I                                           04008515/* The captured Tiger of 1943 - Tiger 131 */ m.
1916–17 St. Louis Soccer League season          03966763null
I Look to You (song)                              03780222null
José Canseco                                     03721614moved [[José Canseco]] to [[Jose Canseco]]: His own
Raidió Teilifís Éireann                        03685141null
Special forces                                    03489383/* World War II */
Wikipedia:Disambiguation pages with links/The Dail03245647/* World War II */
Talk:Arthur Eve/GA2                               03210463update progress
Psyllatos                                         03203965null
Maria Kliegel                                     03172012cat fix in accordance with [[WP:MUSCAT]] guidelines
Frodo Baggins                                     03140032Reverted edits by [[Special:Contributions/194.8.54.2
Wikipedia:Version 1.0 Editorial Team/Biography (mi03140032Reverted edits by [[Special:Contributions/194.8.54.2
User talk:N9t8                                    03094660null
User talk:Arthur Rubin                            03091803"Dating comment by [[User:FFLaguna|FFLaguna
Charles Lenox                                     02787131[[WP:AES|←]]Redirected page to [[Charles Lennox]]
Download Accelerator Plus                         02704084"revert. why redirect to d/l manager? it
Talk:Goodbye (1995 film)                          02662473moved [[Talk:Tot Ziens!]] to [[Talk:Goodb
Jeff Coleman                                      02462393null
Zonalia                                           02430652Nova Pagina: Tachinidae genera
User:RobbieWlkmn/Sandbox9                         024031392nd draft format of article
Stuck in the 80's                                 02261899Date maintenance tags and general  fixes
User talk:97.107.178.220                          02119786Level 2 warning re. [[Ryan Johnson (ice h
Place names considered unusual                    02095950/* S */
User:Dinokid/a01/Sandbox/III                      02079971null
List of Alpine skiing World Cup race winners – M01991521/* Milestones
Dust bath                                         01914247move images to gallery
User talk:86.151.197.184                          01860163Message re. [[Solid]] ([[WP:HG|HG]])
Karl Wilhelm von Willisen                         01843720citation style
Langston Hughes                                   01814770/* Childhood */
Template:Userpage (rounded)/doc                   01763830Fix
Wikipedia:Featured picture candidates/Pavel Bure  01758784start
Talk:Roque (footballer)                           01682096[[WP:AES|←]]Created page with '{{footbal
User:User name one                                01417422null
Rowdy Herrington                                  01396235/* External links */
Rick Ross (rapper)                                01377045/* Appearances */
Kara Mucho                                        01334696null
Rolles Gracie Jr.                                 01226580null
2009 CECAFA Cup                                   01127002/* Group C */
User talk:77.42.190.82                            01083548Level 4 warning re. [[Uri Avnery]] ([[WP:HG
Characters of Supernatural                        01013155"ft - singular to link article
List of characters of The Bill (E-L)              01005065/* Lorna Hart */
Scarlett Johansson                                00913246null
TRT 6                                             00867553Already mentioned
Marie-Thérèse Bruguière                        00854286add infobox
Sabaithawa                                        00644158null
User:Flashflash;                                  00640638null
Old Georgian language                             00626363null
Aman Hayer                                        00515255null
Steven Motlop                                     00459599Reverted edits by [[Special:Contributions/122.107.18
Grand Canyon National Park Superintendent's Reside00402671image
Egoist anarchism                                  00264216/* Later developments */
Amy Vedder                                        09895141started article
Wikipedia:Version 1.0 Editorial Team/Biography (mi09895141started article
Kid Acne                                          09748365add reference
Canoeing at the 1988 Summer Olympics – Women's K09733033/*
Cuckold                                           09526001"added sicilian link to ""cunnutu"""
Gus Schilling                                     09416400Robot: moving pages out of redirected category
Wikipedia:WikiProject Anime and manga/Yu-Gi-Oh!/As09405631null
The World Should Revolve Around Me                09360241null
Vernon Kay                                        09356604/* Wikipedia incident */
Late-2000s recession                              09337279/* Subprime lending as a cause */
Police state                                      09334466/* Idiomatic expansion of the term */
User talk:Ditchaiok                               09286664"[[WP:AES|←]]Created page with 'http://www.d
User talk:91.108.107.174                          09275696/* September 2008 */ v2
Union Correctional Institution                    09260715null
User talk:Wjkk20                                  09256133/* Threats */
If I Were a Boy                                   09217023null
Clovis East High School                           09156679null
Wikipedia:Featured picture candidates/Image:Sunset09114410/* S
MediaWorks New Zealand                            09047675Robot-assisted: fix [[WP:DPL|links]] to [[W
User talk:J.delanoy                               09044577/* Unblock Request Notification */ re
Wikipedia:Primary Secondary and Tertiary Sources  09013512/* Use of peer-re
El Amor (album)                                   09006901copy edit
Wikipedia:Version 1.0 Editorial Team/Correction an09006901copy edit
Talk:Cannabis Culture                             08983854not within the scope of [[WP:PLANTS]]
My Love: Essential Collection                     08969843/* France */
Geography of Australia                            08950948tweak :)
Talk:List of nontheists (authors)                 08936994[[WP:AES|←]] Created page with
Tory Burch                                        08861556/* Business */ more citations
Talk:Simmons Block                                08851897"add to wp:NRHP
USS Passumpsic (AO-107)                           08692241New article.
